instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,log_holiday,sqrt_holiday,boxcox_holiday,log_casual,sqrt_casual,boxcox_casual
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,0.0,0.0,0.0,5.805134968916488,18.193405398660254,16.212234178281456
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,0.0,0.0,0.0,4.882801922586371,11.445523142259598,11.390788872363341
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0.0,0.0,0.0,4.795790545596741,10.954451150103322,11.002892211710387
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,0.0,0.0,0.0,4.6913478822291435,10.392304845413264,10.550845621693712
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0.0,0.0,0.0,4.418840607796598,9.055385138137417,9.437804234466313
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0.0,0.0,0.0,4.48863636973214,9.38083151964686,9.714019051618134
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,0.0,0.0,0.0,5.003946305945459,12.165525060596439,11.948508854179831
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,0.0,0.0,0.0,4.23410650459726,8.246211251235321,8.734821586188641
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,0.0,0.0,0.0,4.007333185232471,7.3484692283495345,7.924942404254424
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,0.0,0.0,0.0,3.7376696182833684,6.4031242374328485,7.032886406586003
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,0.0,0.0,0.0,3.784189633918261,6.557438524302,7.1815217345860605
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0.0,0.0,0.0,3.258096538021482,5.0,5.618897443603
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,0.0,0.0,0.0,3.6635616461296463,6.164414002968976,6.800472263973318
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,0.0,0.0,0.0,4.007333185232471,7.3484692283495345,7.924942404254424
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,0.0,0.0,0.0,5.407171771460119,14.89966442575134,13.962626232526546
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,0.0,0.0,0.0,5.529429087511423,15.84297951775486,14.62453799275519
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,0.6931471805599453,1.0,0.019912573119965735,4.770684624465665,10.816653826391969,10.89289424445625
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,0.0,0.0,0.0,2.302585092994046,3.0,3.3555231652643522
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,0.0,0.0,0.0,4.3694478524670215,8.831760866327848,9.245900599297476
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,0.0,0.0,0.0,4.430816798843313,9.1104335791443,9.48477748471249
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,0.0,0.0,0.0,4.330733340286331,8.660254037844387,9.097518022454933
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,0.0,0.0,0.0,4.543294782270004,9.643650760992955,9.934524139019489
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,0.0,0.0,0.0,5.017279836814924,12.24744871391589,12.011177783123125
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,0.0,0.0,0.0,4.465908118654584,9.273618495495704,9.623418016600782
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,0.0,0.0,0.0,5.231108616854587,13.638181696985855,13.052265380126073
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,0.0,0.0,0.0,3.5553480614894135,5.830951894845301,6.470511622582767
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,0.0,0.0,0.0,2.772588722239781,3.872983346207417,4.385591064429041
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,0.0,0.0,0.0,3.6635616461296463,6.164414002968976,6.800472263973318
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,0.0,0.0,0.0,4.820281565605037,11.090536506409418,11.111021091391681
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,0.0,0.0,0.0,4.948759890378168,11.832159566199232,11.691854449869835
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,0.0,0.0,0.0,3.7612001156935624,6.48074069840786,7.107801384068492
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,0.0,0.0,0.0,3.871201010907891,6.855654600401044,7.465328860030549
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,0.0,0.0,0.0,4.290459441148391,8.48528137423857,8.945030120806027
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,0.0,0.0,0.0,4.127134385045092,7.810249675906654,8.345718452972024
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,0.0,0.0,0.0,4.48863636973214,9.38083151964686,9.714019051618134
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,0.0,0.0,0.0,4.61512051684126,10.0,10.230004420007193
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,0.0,0.0,0.0,5.872117789475416,18.81488772222678,16.618813130934964
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,0.0,0.0,0.0,4.795790545596741,10.954451150103322,11.002892211710387
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,0.0,0.0,0.0,4.174387269895637,8.0,8.516013213946382
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,0.0,0.0,0.0,3.9889840465642745,7.280109889280518,7.861858898382755
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,0.0,0.0,0.0,3.871201010907891,6.855654600401044,7.465328860030549
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,0.0,0.0,0.0,5.0106352940962555,12.206555615733702,11.979915507475537
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,0.0,0.0,0.0,5.666426688112432,16.97056274847714,15.39656517025441
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,0.0,0.0,0.0,5.986452005284438,19.924858845171276,17.332541777997466
